ph,orp_mv,ion_ppm,turbidity,temp_c,lots_run,bath_age_hr,remaining_life_pct,action
6.9,640,8,1.2,70.1,5,2.5,96,CONTINUE
6.8,628,12,1.8,69.8,12,6.0,92,CONTINUE
6.7,610,18,2.2,70.5,20,10.0,88,CONTINUE
6.6,590,24,3.1,69.9,28,14.5,82,CONTINUE
6.5,570,30,4.0,70.2,35,18.0,77,CONTINUE
6.4,545,36,5.2,70.3,45,22.5,70,CONTINUE
6.3,520,42,6.0,69.7,55,27.0,64,CONTINUE
6.2,500,50,7.4,70.4,65,32.0,57,TOP-OFF
6.1,470,58,9.0,70.0,78,38.0,50,TOP-OFF
6.0,450,65,10.5,70.1,90,44.5,43,TOP-OFF
5.9,430,72,12.0,70.2,102,50.0,35,TOP-OFF
5.8,410,78,13.5,69.8,112,56.0,30,TOP-OFF
5.7,390,84,15.0,70.3,124,62.0,24,TOP-OFF
5.6,370,90,16.8,70.0,135,68.0,18,DUMP
5.5,350,98,18.5,69.9,148,74.0,14,DUMP
5.4,330,106,20.2,70.2,160,80.0,10,DUMP
5.3,310,115,22.0,70.1,172,86.0,7,DUMP
5.2,290,124,23.8,70.0,184,92.0,4,DUMP
