exhaust_temp_c,flow_rate_m3h,di_demand_kw,hvac_demand_kw,orc_capacity_pct,time_of_day_hr,routing
840,220,140,230,72,14,ORC_GENERATION
790,210,130,250,68,11,ORC_GENERATION
920,260,120,210,85,16,ORC_GENERATION
760,240,150,270,66,10,ORC_GENERATION
880,230,110,200,78,18,ORC_GENERATION
730,250,160,240,62,9,ORC_GENERATION
620,200,150,180,35,13,DI_PREHEAT
540,180,170,190,28,8,DI_PREHEAT
460,210,165,220,30,7,DI_PREHEAT
650,190,145,170,40,15,DI_PREHEAT
390,170,155,205,32,12,DI_PREHEAT
510,205,135,210,26,6,DI_PREHEAT
260,160,80,280,18,17,HVAC_SUPPLY
220,150,75,310,20,19,HVAC_SUPPLY
180,140,65,330,15,21,HVAC_SUPPLY
290,165,90,260,22,5,HVAC_SUPPLY
240,155,85,295,16,20,HVAC_SUPPLY
200,145,70,320,14,22,HVAC_SUPPLY
680,230,95,190,30,14,BLEND
340,195,90,180,35,12,BLEND
305,175,105,170,24,9,BLEND
710,215,85,205,45,16,BLEND
275,185,110,185,27,10,BLEND
430,205,95,190,20,13,BLEND
